barryvdh/laravel-dompdf            3.1.2
brick/math                         0.14.8
carbonphp/carbon-doctrine-types    3.2.0
dflydev/dot-access-data            3.0.3
doctrine/inflector                 2.1.0
doctrine/lexer                     3.0.1
dompdf/dompdf                      3.1.6
dompdf/php-font-lib                1.0.2
dompdf/php-svg-lib                 1.0.2
dragonmantank/cron-expression      3.6.0
egulias/email-validator            4.0.4
fakerphp/faker                     1.24.1
filp/whoops                        2.18.4
fruitcake/php-cors                 1.4.0
graham-campbell/result-type        1.1.4
guzzlehttp/guzzle                  7.15.3
guzzlehttp/promises                2.5.2
guzzlehttp/psr7                    2.13.0
guzzlehttp/uri-template            1.0.10
hamcrest/hamcrest-php              2.1.1
laravel/framework                  12.65.0
laravel/pail                       1.2.7
laravel/pint                       1.30.4
laravel/prompts                    0.3.22
laravel/sail                       1.65.0
laravel/serializable-closure       2.0.15
laravel/tinker                     2.11.1
league/commonmark                  2.9.0
league/config                      1.2.0
league/flysystem                   3.35.2
league/flysystem-local             3.31.0
league/mime-type-detection         1.17.0
league/uri                         7.8.1
league/uri-interfaces              7.8.1
masterminds/html5                  2.10.1
mockery/mockery                    1.6.12
monolog/monolog                    3.10.0
myclabs/deep-copy                  1.13.4
nativephp/desktop                  2.2.1
nativephp/php-bin                  1.2.0
nesbot/carbon                      3.13.1
nette/schema                       1.3.5
nette/utils                        4.1.5
nikic/php-parser                   5.8.0
nunomaduro/collision               8.9.5
nunomaduro/termwind                2.4.0
phar-io/manifest                   2.0.4
phar-io/version                    3.2.1
phpoption/phpoption                1.9.5
phpunit/php-code-coverage          11.0.12
phpunit/php-file-iterator          5.1.1
phpunit/php-invoker                5.0.1
phpunit/php-text-template          4.0.1
phpunit/php-timer                  7.0.1
phpunit/phpunit                    11.5.56
psr/clock                          1.0.0
psr/container                      2.0.2
psr/event-dispatcher               1.0.0
psr/http-client                    1.0.3
psr/http-factory                   1.1.0
psr/http-message                   2.0
psr/log                            3.0.2
psr/simple-cache                   3.0.0
psy/psysh                          0.12.24
ralouphie/getallheaders            3.0.3
ramsey/collection                  2.1.1
ramsey/uuid                        4.9.3
sabberworm/php-css-parser          9.4.0
sebastian/cli-parser               3.0.2
sebastian/code-unit                3.0.3
sebastian/code-unit-reverse-lookup 4.0.1
sebastian/comparator               6.3.3
sebastian/complexity               4.0.1
sebastian/diff                     6.0.2
sebastian/environment              7.2.1
sebastian/exporter                 6.3.2
sebastian/global-state             7.0.2
sebastian/lines-of-code            3.0.1
sebastian/object-enumerator        6.0.1
sebastian/object-reflector         4.0.1
sebastian/recursion-context        6.0.3
sebastian/type                     5.1.3
sebastian/version                  5.0.2
spatie/laravel-package-tools       1.93.1
staabm/side-effects-detector       1.0.5
symfony/clock                      8.1.0
symfony/console                    7.4.15
symfony/css-selector               8.1.0
symfony/deprecation-contracts      3.7.1
symfony/error-handler              7.4.15
symfony/event-dispatcher           8.1.2
symfony/event-dispatcher-contracts 3.7.1
symfony/filesystem                 8.1.2
symfony/finder                     7.4.14
symfony/http-foundation            7.4.15
symfony/http-kernel                7.4.15
symfony/mailer                     7.4.15
symfony/mime                       7.4.15
symfony/polyfill-ctype             1.37.0
symfony/polyfill-intl-grapheme     1.41.0
symfony/polyfill-intl-idn          1.38.1
symfony/polyfill-intl-normalizer   1.38.0
symfony/polyfill-mbstring          1.38.2
symfony/polyfill-php80             1.37.0
symfony/polyfill-php83             1.41.0
symfony/polyfill-php84             1.38.1
symfony/polyfill-php85             1.41.0
symfony/polyfill-uuid              1.37.0
symfony/process                    7.4.13
symfony/routing                    7.4.15
symfony/service-contracts          3.7.1
symfony/string                     8.1.2
symfony/translation                8.1.1
symfony/translation-contracts      3.7.1
symfony/uid                        7.4.9
symfony/var-dumper                 7.4.15
symfony/yaml                       8.1.2
thecodingmachine/safe              3.4.0
theseer/tokenizer                  1.3.1
tijsverkoyen/css-to-inline-styles  2.4.0
vlucas/phpdotenv                   5.6.4
voku/portable-ascii                2.1.1
